,City,State,Country,Lat,Lon
0,Ahmedabad, Gujarat,India,23.00795,72.553757
1,Guwahati, Assam, India,26.182245,91.754723
2,Paithen, Maharashtra, India,19.487707,75.380768
3,Mirpur, West Bengal, India,22.700474,88.319069
4,Sriperumbudur, Tamil Nadu, India,12.946366,79.959244
5,Kolkata, West Bengal, India,22.542061,88.318954
6,Ner Chowk, Himachal Pradesh, India,31.604889,76.919533
7,Ambad Nashik, Maharashtra, India,19.969227,73.743195
8,Bhadravati, Maharashtra, India,20.112093,79.118698
9,Hyderabad, Telangana, India,17.437462,78.448288
11,Cuttack, Odisha, India,20.450474,85.905533
12,New Delhi, Delhi, India,28.526592,77.290169
13,Bengaluru, Karnataka, India,13.094454,77.586014
14,Cachar, Assam, India,24.833946,92.779282
15,Thane, Maharashtra, India,19.226662,72.983833
16,Siliguri, West Bengal, India,26.743464,88.416252
17,Kolhapur, Maharashtra, India,16.713512,74.248749
18,Ghaziabad, Uttar Pradesh, India,28.641485,77.371384
20,Pune, Maharashtra, India,18.50989,73.807182
21,Chennai, Tamil Nadu, India,12.981241,80.20945
22,Khurja, Uttar Pradesh, India,28.23801,77.854912
24,Navi Mumbai, Maharashtra, India,19.125362,72.999199
25,Nashik, Maharashtra, India,19.946922,73.765434
26,Mumbai, Maharashtra, India,19.180874,72.857452
27,Tiruchirappalli, Tamil Nadu, India,10.775632,78.69236
28,Kota, Rajasthan, India,25.155169,75.827248
32,Jaipur, Rajasthan, India,26.87063,75.693398
37,Beed, Maharashtra, India,18.970057,75.72065
43,Pimpri Chinchwad, Maharashtra, India,18.626076,73.812157
44,Rajkot, Gujarat, India,22.259392,70.777184
47,Roorkee, Uttarakhand, India,29.854263,77.888
48,Kavali, Andhra Pradesh, India,14.913181,79.992981
49,Dharmavaram, Andhra Pradesh, India,14.413745,77.712616
50,Siddipet, Telangana, India,18.101904,78.852074
51,Dhanpuri, Madhya Pradesh, India,23.173939,81.565125
52,Chirala, Andhra Pradesh, India,15.812074,80.355377
53,Markapur, Andhra Pradesh, India,15.764501,79.259491
54,Chalakudy, Kerala, India,10.311879,76.331978
55,Gondal, Gujarat, India,21.961946,70.792297
56,Bhimavaram, Andhra Pradesh, India,16.544893,81.52124
57,Jalgaon Jamod, Maharashtra, India,21.04954,76.532028
58,Hodal, Haryana, India,27.897551,77.384117
59,Ausa, Maharashtra, India,18.245655,76.505356
60,Mahidpur, Madhya Pradesh, India,23.486839,75.659157
61,Gurdaspur, Punjab, India,32.041943,75.405334
62,Oakland, California, USA,37.804363,-122.271111
63,Domchanch, Jharkhand, India,24.47438,85.688744
64,Barjora, West Bengal, India,23.427221,87.287018
65,Dormition Cathedral, Kharkiv, Ukraine,49.989876,36.230614
66,Sinnar, Maharashtra, India,19.85306,74.000633
67,Guntakal, Andhra Pradesh, India,15.167409,77.373627
