internColumns,keyurColumns,crunchbaseColumns,VIColumns
source,source,startupName,startupName
startupName,startupName,founderName,investorName
foundedDate,foundedDate,website,
description,investorName,city,
ICB_industry,linkedinURL,,
ICB_sector,investorType,,
startupClassification,dealInvestmentAmount,,
startupClassification2,roundInvestmentAmount,,
businessModel,investmentStage,,
keyword1,stageClassification,,
keyword2,roundDate,,
keyword3,equityValuation,,
city,companyWebsite,,
state,,,
startupStatus,,,
groupClassification1,,,
groupClassification2,,,
groupClassification3,,,
round1Date,,,
round1InvestorCount,,,
round1LeadInvestorType,,,
round1InvestmentAmount,,,
round1Valuation,,,
round2Date,,,
round2InvestorCount,,,
round2LeadInvestorType,,,
round2InvestmentAmount,,,
round2Valuation,,,
round3Date,,,
round3InvestorCount,,,
round3LeadInvestorType,,,
round3InvestmentAmount,,,
round3Valuation,,,
incubator,,,
incubatorDate,,,
incubatorResult,,,
accelerator,,,
accleratorDate,,,
accelaratorResult,,,
