S. No.,source,startupName,foundedDate,description,ICB_industry,ICB_sector,startupClassification,startupClassification2,businessModel,keyword1,keyword2,keyword3,city,state,startupStatus,groupClassification1,groupClassification2,groupClassification3,groupclassification4,Stage at the time of incubation,"Total investment by founders (Rupees, Lakhs)",Number of Founders,founder1Name,founder2Name,founder3Name,incubator,incubatorDate,Start-up stage,incubatorResult,accelerator,accleratorDate,Start-up stage,accelaratorResult,round1Date,round1InvestorCount,round1LeadInvestorType,round1InvestmentAmount,round1Valuation,Round1 Employees (Number),"Round1 Revenues (Rupees, Lakhs)",round2Date,round2InvestorCount,round2LeadInvestorType,round2InvestmentAmount,round2Valuation,Round2 Shareholding,Round2 Employees (Number),"Round2 Revenues (Rupees, Lakhs)",round3Date,round3InvestorCount,round3LeadInvestorType,round3InvestmentAmount,round3Valuation,Round3 Shareholding,Round3 Employees (Number),"Round3 Revenues (Rupees, Lakhs)",Round4 date,Round4 Total investors,Round4 Lead Investor type,Round4 Investment amount (Rupees Crores),Round4 Valuation (Rupees Crores),Round4 Shareholding,Round4 Employees (Number),"Round4 Revenues (Rupees, Lakhs)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shutdown
1,Deal curry,2mpower Health Management Services Private Limited,2014,"2mpower Health Management Services Pvt. Ltd. develops a fitness activity device. The company offers an easy-to-carry device that tracks the statistics of daily activities of the customer. Its device tracks various data, such as sleep hours, calories burnt, and distance travelled.",Healthcare,Healthcare,Technology_,,B2C,Fitness activity device developers,,,Bengaluru,Karnataka,Angel investment,Wearable Technology,,,,,,1,Mohammed Hussain Naseem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acquired
2,Deal curry,33Coupons.in,2015,33Coupons.in gives you the updated and reliable information of all the latest coupon codes or promotional codes available on several leading e-retailers/ merchants in India. ,Technology,Software & Computer Services,Consumer_Products_and_Services,,B2C,A place to find top discount offers,,,Kanpur,Uttar Pradesh,Angel investment,Specialized Consumer Services,,,,,,1,Sanjeev Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Deal curry,360Cabs Software Services Private Limited,2016,360Cabs Software Services Private Limited operates a ride-sharing platform for urban travel that allows ride-sharing of two wheelers and four wheelers.,Technology,Software & Computer Services,Hyperlocal_and_Logistics,,B2C,Ride-sharing platform of two wheelers and four wheelers,,,Bengaluru,Karnataka,Angel investment,Transportation Services,,,,,,1,Lokesh Bevara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Deal curry,3LOQ Labs Private Limited,2014,"3LOQ enables brands and retailers to understand individual customer’s behaviour, based on past action and context, using its advanced  machine-learning algorithms. ",Industrials,Industrial goods and services,Software_and_Internet_Services,,B2B,Platform for brands to understand customer behaviour,,,Hyderabad,Andhra Pradesh,Angel investment,Big Data Analytics and Machine learning,,,,,,1,Sunil Motaparti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Deal curry,6 Degree,2015,6Degree is a Creative Ensemble of artists and their creations. A technology idea that links artists across the globe and at the same time offers them a space to build and showcase their very own creative identity.,Technology,Software & Computer Services,Internet_marketplace_and_eCommerce,,B2C,Connecting fashion,,,Mumbai,Maharashtra,Angel investment,Fashion,,,,,,1,Nikhil Hedge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Deal curry,74 BC Technologies Pvt Ltd,2015,74 BC Technologies Pvt Ltd designs and develops a mobile application for bike ride transportation services.,Technology,Software & Computer Services,Hyperlocal_and_Logistics,,B2B,Application for bike ride transportation services,,,Gurgaon,Haryana,Angel investment,Transportation Services,,,,,,2,Ashutosh Johri,Manu Rana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Deal curry,Aadya Webservices Private Limited,2015,Aadya Webservices Pvt. Ltd. operates an online marketplace for customers and service providers (vendors) that enables them in connecting with each other and conducting business in a convenient and organized manner by scheduling online appointments.,Technology,Software & Computer Services,Social_Platforms,,B2B2C,Online platform that connects customers ans service providers,,,Mumbai,Maharashtra,Angel investment,Connect to Professionals,,,,,,4,Siddharth Dalal,Ekta Dalal,Nidhi Nanavati Chandel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Deal curry,Aasaanjobs ,2014,Aasaanjobs is a recruitment company for entry level jobs in India. It aims to create a digital identity for millions who play such a crucial role in the ever expanding service industry of the country.,Industrials,Industrial goods and services,Industrial_and_Business_Products_and_Services,,B2B,Recruitment company,,,Mumbai,Maharashtra,Angel investment,Business Training & Employment Agencies,,,,,,2,Dinesh Goel,Gaurav Toshiniwal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Deal curry,Abhiman Technologies Private Limited,2014,"Abhiman Technologies Private Limited provides online hiring solutions for job seekers to find jobs in India. It allows recruiters and companies to scan candidates, schedule interviews, and call candidates, and expedites the hiring process.",Technology,Software & Computer Services,Industrial_and_Business_Products_and_Services,,B2B,Online platform that connects job seekers and recruiters,,,Bengaluru,Karnataka,Angel investment,Business Support Services,,,,,,2,Manjunath Thalwar,Abhijit Khasnis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Deal curry,Absentia Virtual Reality ,2015,"Virtual Reality is a potential multi-billion dollar market worldwide, and India is one of the emerging markets. Its applications span across sectors like gaming, education, healthcare, real estate, architecture, online shopping etc.",Technology,Software & Computer Services,Technology_,,B2C,Virtual reality head mount device,,,Thane,Maharashtra,Angel investment,Electronics,,,,,,1,Subham Mishra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
