S. No.,source,startupName,website,foundedDate,description,ICB_industry,ICB_sector,startupClassification,startupClassification2,businessModel,keyword1,keyword2,keyword3,city,state,startupStatus,groupClassification1,groupClassification2,groupClassification3,Group Classification 4,Stage at the time of incubation,"Total investment by founders (Rupees, Lakhs)",Number of Founders,founder1Name,founder2Name,founder3Name,incubator,incubatorDate,Start-up stage,incubatorResult,accelerator,accleratorDate,Start-up stage,accelaratorResult,round1Date,round1InvestorCount,round1LeadInvestorType,round1InvestmentAmount,round1Valuation,Round1 Employees (Number),"Round1 Revenues (Rupees, Lakhs)",round2Date,round2InvestorCount,round2LeadInvestorType,round2InvestmentAmount,round2Valuation,Round2 Shareholding,Round2 Employees (Number),"Round2 Revenues (Rupees, Lakhs)",round3Date,round3InvestorCount,round3LeadInvestorType,round3InvestmentAmount,round3Valuation,Round3 Shareholding,Round3 Employees (Number),"Round3 Revenues (Rupees, Lakhs)",Round4 date,Round4 Total investors,Round4 Lead Investor type,Round4 Investment amount (Rupees Crores),Round4 Valuation (Rupees Crores),Round4 Shareholding,Round4 Employees (Number),"Round4 Revenues (Rupees, Lakhs)"
1,VI,CorpInsights,,,Business information and intelligence in data and finance,Technology,Software & Computer Services,Social Platforms,,B2C,Website for Information,,,Vellore,,,Website for information,,,,,,,,,,VIT - TBI,05/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,VI,TMT Media,,,Web TV for Doctors,Healthcare,Healthcare,Health-Tech,,B2C,Doctor and Diagnostics,,,Chennai,,,Telemedicine and Online health care platforms,,,,,,,,,,VIT - TBI,01/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,VI,Unit Marketing Solutions,www.unitsolutions.in,,Unit Marketing Solutions is in the business of providing end to end Loyalty and CRM solutions to the Indian Retail Industry.,Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Marketing Solutions,,,Mumbai,,,Business Support Services,,,,,,,,,,IIT-Bombay SINE,01/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,VI,1Plify,,,1Plify is a global admission portal that allows students to directly connect with institutions of their choice around the world.,Technology,Software & Computer Services,Edu-Tech,,B2C,Student Addmission portal,,,Bengaluru,,,Training for entrance exams,,,,,,,,,,NUMA Accelerator,05/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,VI,21G Design Work,http://www.21g.in,,Design and Development of High Performance Cricket Leg Gear,Technology,Technology Hardware & Equipment,Technology,,B2C,Sports wearable,,,Bengaluru,,,Wearable Technology,,,,,,,,,,NDBI,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,VI,4 Front Analytics,http://www.4frontanalytics.com,,The aim of 4Front is to provide powerful and innovative solutions for enhanced business profitability and productivity..,Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Business Consultancy,,,Kanpur,,,Buisness and Management consultancy,,,,,,,,,,IIT-KANPUR  SIIC,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,VI,5 Shells,http://www.5shells.com/,,"5Shells is a gaming company specializing in experiential learning games that hone leadership, negotiation and other management skills",Consumer_services,Media,"Media, Advertising and Gaming",,B2C,Gaming,,,Bengaluru,,,Games and Gaming enablers,,,,,,,,,,IIM-B NSRCEL,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,VI,8Minutes,http://8minutes.com/,,8Minutes sets up roof top solar energy power plants.,Technology,Technology Hardware & Equipment,Clean Technology,,B2C,Solar Energy Roof Top Power Plants,,,Delhi,,,Solar energy,,,,,,,,,,Startup Tunnel,02/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,VI,Aarav Unmanned Systems,,,We are a start-up established with focus on providing consultancy in robotics solutions.,Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Robotics solution to industrials,,,Kanpur,,,Buisness and Management consultancy,,,,,,,,,,IIT-KANPUR  SIIC,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,VI,Abroad Shiksha,http://studyabroad.shiksha.com/,,"Based in Gurugram, this edtech start-up facilitates Indian students’ admission to universities abroad.",Technology,Software & Computer Services,Edu-Tech,,B2C,Student Admission portal,,,Gurgaon,,,Training for entrance exams,,,,,,,,,,Edugild,09/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,VI,Acceleron labs,,,"Acceleron Labs’ mission is to bring the benefits of the proven accelerated micro server technology and software defined architecture based data center model to companies of all sizes. Acceleron Labs’ MDC converges server, storage, networking and acceleration into a single box. MDC reduces data center OPEX and CAPEX by accelerating Micro Server performance and deploying green data center solutions.",Technology,Software & Computer Services,Software and Internet Services,,B2B,Cloud Computing,,,Bengaluru,,,Cloud Infrastructure,,,,,,,,,,Amrita - TBI,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,VI,AceBot,http://acebot.ai/,,"The new batch of start-ups selected for the Microsoft Accelerator programme are mainly in the areas of artificial intelligence and the internet of things, targeting verticals, including banking finance and financial services, logistics, healthcare, pharm and energy .Seven of the start-ups, including healthcare start-up SigTuple and packaging artwork management software provider Karomi are among series-stage mature businesses, currently at an average annual revenue rate (ARR) of $1.5 million, and average funding of $3.2 million. The other start-ups in the batch include: AceBot, Active.Ai, FirstHive, Heckyl Technologies, Lavelle Networks, LetsTransport, QuestionPro, SysCloud, Tricog, vPhrase, Wittyparrot and Zenatix.",Technology,Software & Computer Services,Software and Internet Services,,B2B,ChatBot,,,San Jose,,,Communication services,,,,,,,,,,Microsoft Accelerator,03/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,VI,Active.ai,http://active.ai/,,"The new batch of start-ups selected for the Microsoft Accelerator programme are mainly in the areas of artificial intelligence and the internet of things, targeting verticals, including banking finance and financial services, logistics, healthcare, pharm and energy .Seven of the start-ups, including healthcare start-up SigTuple and packaging artwork management software provider Karomi are among series-stage mature businesses, currently at an average annual revenue rate (ARR) of $1.5 million, and average funding of $3.2 million. The other start-ups in the batch include: AceBot, Active.Ai, FirstHive, Heckyl Technologies, Lavelle Networks, LetsTransport, QuestionPro, SysCloud, Tricog, vPhrase, Wittyparrot and Zenatix.",Technology,Software & Computer Services,Software and Internet Services,,B2B,Artificial Intelligence application for banking services,,,,,,Enterprise Software,,,,,,,,,,Microsoft Accelerator,03/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,VI,Adhyayan,http://adhyayan.asia/site/,,Target provides framework for self-review that results in systemic school improvement.,Technology,Software & Computer Services,Edu-Tech,,B2C,School Improvement,,,Mumbai,,,IT and Mobile solutions for Education delivery,,,,,,,,,,Villgro,12/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
