source,startupName,ICB_industry,ICB_sector,startupClassification,foundedDate,Repition,investorName,Age,Investor City,Domestic Investor,1,2,linkedinURL,Education (Field),Education 2 (Field),Education (place),Education 2 (place),Professional Experience,Sector,"Match (city) (718/2783,0.282 with dom & no blank)","Match (city) (718/2454,0.257 with dom & no blank)",Region,"Match (region)(455/1273),.357","Match(region)(455/1397),0.325",State,"Match (210/1273),0.17, (210/1397),0.15",State/Region,"Match (304/1273),0.24 (304/1397),0.217",Age,Sector,investorType,Investor Nationality Domestic / Foreign / Angel),Deal Investment Amount ( $ M),dealInvestmentAmount,"Deal Investment Amount ( INR M)
{ In Base Year Amount }",Round Investment Amount ($ M),roundInvestmentAmount,"Round Investment Amount (INR M)
{ In Base Year Amount }",investmentStage,stageClassification,roundDate,Closing Date of Investment,Percentage Equity Stake by the Investor,Percentage Equity Stake in the round,Equity Valuation ($ M),equityValuation,"Equity Valuation (INR M)  
{ In Base Year Amount }",city,Region,state,State (n),companyWebsite,Financial Year,Revenue Multiple,EBITDA Multiple,PAT Multiple,Share Capital ($ M),Share Capital (INR M),"Share Capital (INR M) 
{ In Base Year Amount }",Reserves ($ M),Reserves (INR M),"Reserves (INR M)  
{ In Base Year Amount }",Shareholders Funds ($ M),Shareholders Funds (INR M),"Shareholders Funds (INR M)  
{ In Base Year Amount }",Long Term Debt ($ M),Long Term Debt (INR M),"Long Term Debt (INR M)  
{ In Base Year Amount }",Short Term Debt ($ M),Short Term Debt (INR M),"Short Term Debt (INR M)  
{ In Base Year Amount }",Current Liabilities ($ M),Current Liabilities (INR M),"Current Liabilities (INR M)  
{ In Base Year Amount }",Equity and Liabilities ($ M),Equity and Liabilities (INR M),"Equity and Liabilities (INR M)  
{ In Base Year Amount }",Fixed Assets ($ M),Fixed Assets (INR M),"Fixed Assets (INR M)  
{ In Base Year Amount }",Current Investments ($ M),Current Investments (INR M),"Current Investments (INR M)  
{ In Base Year Amount }",Inventories ($ M),Inventories (INR M),"Inventories (INR M)  
{ In Base Year Amount }",Receivables ($ M),Receivables (INR M),"Receivables (INR M)  
{ In Base Year Amount }",Cash and Bank Balances ($ M),Cash and Bank Balances (INR M),"Cash and Bank Balances (INR M)  
{ In Base Year Amount }",Loans and Advances ($ M),Loans and Advances (INR M),"Loans and Advances (INR M)  
{ In Base Year Amount }",Other Current Assets ($ M),Other Current Assets (INR M),"Other Current Assets (INR M)  
{ In Base Year Amount }",Total Assets ($ M),Total Assets (INR M),"Total Assets (INR M)  
{ In Base Year Amount }",Total Reserves ($ M),Total Reserves (INR M),"Total Reserves (INR M)  
{ In Base Year Amount }",Gross Profit ($ M),Gross Profit (INR M),"Gross Profit (INR M)  
{ In Base Year Amount }",EBITDA ($ M),EBITDA (INR M),"EBITDA (INR M)  
{ In Base Year Amount }",Depreciation ($ M),Depreciation (INR M),"Depreciation (INR M)  
{ In Base Year Amount }",EBITA ($ M),EBITA (INR M),"EBITA (INR M)  
{ In Base Year Amount }",EBIT ($ M),EBIT (INR M),"EBIT (INR M)  
{ In Base Year Amount }",Finance Costs ($ M),Finance Costs (INR M),"Finance Costs (INR M)  
{ In Base Year Amount }",PBT ($ M),PBT (INR M),"PBT (INR M)  
{ In Base Year Amount }",Tax ($ M),Tax (INR M),"Tax (INR M)  
{ In Base Year Amount }",PAT ($ M),PAT (INR M),"PAT (INR M)  
{ In Base Year Amount }",EV / Total Income ($ M),EV / Total Income (INR M),"EV / Total Income (INR M)  
{ In Base Year Amount }",EV / EBITDA ($ M),EV / EBITDA (INR M),"EV / EBITDA (INR M)  
{ In Base Year Amount }",EV / EBIT ($ M),EV / EBIT (INR M),"EV / EBIT (INR M)  
{ In Base Year Amount }",EV / Total Assets ($ M),EV / Total Assets (INR M),"EV / Total Assets (INR M)  
{ In Base Year Amount }",EV / Profit Before Tax ($ M),EV / Profit Before Tax (INR M),"EV / Profit Before Tax (INR M)  
{ In Base Year Amount }",EV / Profit After Tax ($ M),EV / Profit After Tax (INR M),"EV / Profit After Tax (INR M)  
{ In Base Year Amount }",Implied Enterprise Value ($ mn),Implied Enterprise Value (INR mn),"Implied Enterprise Value (INR mn)  
{ In Base Year Amount }",Rep,Concatenate,double,con,double2,diff.year,Time Interval,CPI,repe,Concatenate_startup,,,Base Year,Base Year CPI
VCC,Lifebridge Senior Care Pvt. Ltd.,Healthcare,Healthcare,Health-Tech,2015,1,A S Arvind,,Chennai,Yes,,,https://in.linkedin.com/in/aravind-agrahara-2039844,,,,,,,FALSE,FALSE,Chennai,FALSE,,,,,,,,Angel,Angel,,,,,,,Seed,,06-01-2016,06-01-2016, , ,,,,Bengaluru,Bengaluru,,,http://www.kiteshealth.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,, ,,,,,,,,,,,,,,, ,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,1,Lifebridge Senior Care Pvt. Ltd.A S Arvind,1,Lifebridge Senior Care Pvt. Ltd.A S Arvind42522,1,-2268,,,,,,,,
Deal Curry,Perfios Software Solutions Private Limited,Technology,Software & Computer Services,Software and Internet Services,2008,1,A.G Muralikrishnan,,Bengaluru,Yes,,,https://in.linkedin.com/in/muralikrishnan-gopalaratnam-a092b815,,,,,,,TRUE,,Bengaluru,TRUE,,,,,,,,Angel,Angel,0.5,22.86863821,15.66345083,2,91.47455285,62.65380332,Series A,Seed,3/17/2010,, , ,,,,Bengaluru,Bengaluru,,,,2014,,,,0.711356525,32.53551,22.28459589,,,,,,,,,,0.126166083,5.770493,3.952392466,0.18844795,8.619096,5.903490411,0.141397204,6.467123,4.429536301,0.003069466,0.140389,0.096156849,,,,,,,0.02454018,1.122401,0.768767808,0.007417888,0.339274,0.232379452,0.000924038,0.042263,0.02894726,0.097377836,4.453797,3.05054589,0.141397226,6.467124,4.429536986,0.17872107,8.174215,5.598777397,,,,,,,0.001393415,0.063731,0.04365137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Perfios Software Solutions Private LimitedA.G Muralikrishnan91.4745528455285,1,Perfios Software Solutions Private LimitedA.G Muralikrishnan91.474552845528540254,1,1033,,,,,,,,
VCC,Bookadspace Dotcom Pvt. Ltd.,Technology,Software & Computer Services,Software and Internet Services,2012,3,Aakrit Vaish,,Mumbai,Yes,Domestic Investor,2370,,,,,,,,FALSE,FALSE,Mumbai,FALSE,FALSE,,,,,33,Internet,Angel,Angel,,,,,,,Seed,,1/13/2013,1/13/2013, ,27.71084337,,,,Ahmedabad,Ahmedabad,Gujarat,,http://www.bookadspace.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,, ,,,,,,,,,,,,,,, ,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,2,Bookadspace Dotcom Pvt. Ltd.Aakrit Vaish,1,Bookadspace Dotcom Pvt. Ltd.Aakrit Vaish41287,1,102,102,102,2,Bookadspace Dotcom Pvt. Ltd.2012,,,,
VCC,DataWeave Software Pvt. Ltd.,Technology,Software & Computer Services,Software and Internet Services,2011,3,Aakrit Vaish,,Mumbai,Yes,Foreign Investor,316,,,,,,,,FALSE,FALSE,Mumbai,FALSE,FALSE,,,,,35,Internet,Angel,Angel,,,,0.1,5.862880328,5.309882211,Seed,Pre-Seed,4/25/2013,4/25/2013, , ,,,,Bengaluru,Bengaluru,Karnataka,,http://www.dataweave.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,, ,,,,,,,,,,,,,,, ,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,19,DataWeave Software Pvt. Ltd.Aakrit Vaish5.86288032786885,1,DataWeave Software Pvt. Ltd.Aakrit Vaish5.8628803278688541389,1,74,74,74,19,DataWeave Software Pvt. Ltd.2011,,,,
VCC,Flat Dot To Technologies Pvt. Ltd.,Technology,Software & Computer Services,Software and Internet Services,2013,3,Aakrit Vaish,,Mumbai,Yes,Location Unknown,49,,,,,,,,TRUE,TRUE,Mumbai,TRUE,TRUE,,,,,37,Internet,Angel,Angel,0.03,1.758864098,1.592964663,0.03,1.758864098,1.592964663,Seed,Pre-Seed,07-08-2013,02-05-2014,21.42857143,22.2,0.14,8.208032459,7.433835096,Mumbai,Mumbai,Maharashtra,,https://www.flatchat.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,, ,,,,,,,,,,,,,,, ,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,2,Flat Dot To Technologies Pvt. Ltd.Aakrit Vaish1.75886409836066,1,Flat Dot To Technologies Pvt. Ltd.Aakrit Vaish1.7588640983606641463,1,1009,,,2,Flat Dot To Technologies Pvt. Ltd.2013,,,,
VCC,Magiclane App Services Pvt. Ltd.,Technology,Software & Computer Services,Software and Internet Services,2015,1,Aarti Grover,,Mumbai,Yes,,,https://in.linkedin.com/in/aarti-grover-28ba321,,,,,,,FALSE,,Mumbai,FALSE,,,,,,,,Angel,Angel,0.2,13.44514032,14.08977034,1,67.2257016,70.44885168,Seed,Seed,04-12-2016,04-12-2016, , ,,,,Bengaluru,Bengaluru,,,http://magicx.co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,, ,,,,,,,,,,,,,,, ,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,5,Magiclane App Services Pvt. Ltd.Aarti Grover67.2257016,1,Magiclane App Services Pvt. Ltd.Aarti Grover67.225701642472,1,-1898,,,,,,,,
VCC,Milk Mantra Dairy Pvt. Ltd.,Consumer goods,Food and beverage,Others,2009,1,Aashish P Somaiyaa,,Mumbai,Yes,,,https://in.linkedin.com/in/aashishpsomaiyaa,,,,,,,FALSE,,Mumbai,FALSE,,,,,,,,Angel,Angel,,,,1.58,73.7410332,55.29264294,Seed,Seed,1/31/2011,12/18/2012, ,14.70483005,3.05,142.348197,106.7357981,Bhubaneswar,Bhubaneswar,,,http://www.milkmantra.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,, ,,,,,,,,,,,,,,, ,,,,,, ,,,,,,,,,,,,10.27,479.3167158,359.4021791,,,,,,,2.82,131.6137428,98.68686904,6,Milk Mantra Dairy Pvt. Ltd.Aashish P Somaiyaa73.7410332,1,Milk Mantra Dairy Pvt. Ltd.Aashish P Somaiyaa73.741033240574,1,603,,,,,,,,
VCC,Locon Solutions Pvt. Ltd.,Technology,Software & Computer Services,Software and Internet Services,2012,3,Aatif Ahmed Misbah,,Boston,No,,,https://www.linkedin.com/in/aatifmisbah,,,,,,,FALSE,,Boston,FALSE,,,,,,,,Angel,Angel,0.04,2.139778165,1.760876214,0.36,19.25800349,15.84788592,Seed,Pre-Seed,9/25/2012,9/25/2012,5.333333333,16.15720524,0.75,40.1208406,33.01642901,Mumbai,Mumbai,,,http://www.housing.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,, ,,,,,,,,,,,,,,, ,,,,,, ,,,,,,,,,,,, ,,,,,,,,,0.75,40.1208406,33.01642901,9,Locon Solutions Pvt. Ltd.Aatif Ahmed Misbah19.2580034876033,1,Locon Solutions Pvt. Ltd.Aatif Ahmed Misbah19.258003487603341177,1,887,887,887,,,,,,
VCC,BlackCotton Solutions Pvt. Ltd.,Technology,Software & Computer Services,Software and Internet Services,2014,3,Aatif Ahmed Misbah,,Boston,No,California,92,https://www.linkedin.com/in/aatifmisbah,,,,,,,FALSE,,Boston,FALSE,,,,,,,,Angel,Angel,,,,0.34,21.81184407,21.81184407,Seed,Pre-Seed,03-01-2015,6/25/2015, ,30.37974684,2.19,140.4939368,140.4939368,Mumbai,Mumbai,,,http://www.doormint.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,, ,,,,,,,,,,,,,,, ,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,14,BlackCotton Solutions Pvt. Ltd.Aatif Ahmed Misbah21.8118440746888,1,BlackCotton Solutions Pvt. Ltd.Aatif Ahmed Misbah21.811844074688842064,1,173,173,173,,,,,,
VCC,A S Justride Tours and Travels Pvt. Ltd.,Technology,Software & Computer Services,Software and Internet Services,2015,3,Aatif Ahmed Misbah,,Boston,No,London,66,https://www.linkedin.com/in/aatifmisbah,,,,,,,FALSE,,Boston,FALSE,,,,,,,,Angel,Angel,,,,2,128.3049651,128.3049651,Venture Capital,Seed,8/21/2015,, , ,,,,Mumbai,Mumbai,,,http://justride.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,, ,,,,,,,,,,,,,,, ,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,9,A S Justride Tours and Travels Pvt. Ltd.Aatif Ahmed Misbah128.304965145228,1,A S Justride Tours and Travels Pvt. Ltd.Aatif Ahmed Misbah128.30496514522842237,1,-413,,,,,,,,
