s.no,source,startupName,foundedDate,description,ICB_industry,ICB_sector,startupClassification,groupClassification1,groupClassification2,startupClassification2,groupClassification3,businessModel,keyword1,keyword2,keyword3,city,state,startupStatus,Number of Founders,founder1Name,founder2Name,founder3Name
1,keyur,A S Justride Tours and Travels Pvt. Ltd.,2015,"A.S. Justride Tours and Travels Private Limited provides self-drive car rental services in India. Its rental fleet includes hatchbacks, sedans, SUV’s, and luxury cars.",Consumer_services,Travel and Leisure,Internet_marketplace_and_eCommerce,Online Rental,,Consumer_Products_and_Services,Travel & Tourism,B2C,Car rental services,,,Mumbai,Maharashtra,Angel investment,,,,
2,keyur,Aayuv Technologies Pvt. Ltd.,2014,"Aayuv Technologies Pvt., Ltd. operates an online and offline medical record hosting, retrieval, and health tracking Website.",Healthcare,Healthcare,Health_Tech,Telemedicine and Online health care platforms,,,,B2C,O2O Health care providers,,,Hyderabad,Andhra Pradesh,Angel investment,1,Kiran Kalakuntla,,
3,keyur,ActOnMagic Technologies Pvt. Ltd.,2014,"ActOnMagic Technologies Pvt. Ltd., an intelligent cloud management company, develops cloud analytics and management products to deliver intelligence and control for service providers and enterprises.",Technology,Software & Computer Services,Software_and_Internet_Services,Business Intelligence,Cloud Infrastructure,,,B2B,Cloud management company,Develops cloud analytics and management products,,Bengaluru,Karnataka,Angel investment,3,Madan Ganesh Velayudham,Sumathi Kuppuswamy,Jaya Balan Subramanian
4,keyur,Adcount Technologies Pvt. Ltd.,2015,"Supplier and manufacturer of paper cup, plastic spoon, fiber carry bag, plastic lid, plastic meal tray lid, plastic stirrer, plastic straw, plastic...",Consumer_goods,personal and household goods,Consumer_Products_and_Services,Household Products,,,,B2C,Supplier and manufacturer of papercups,,,Noida,Uttar Pradesh,Angel investment,,,,
5,keyur,AddoDoc Technologies Pvt. Ltd.,2014,AddoDoc Technologies Private Limited designs and develops a platform for doctors to manage patient data. It also develops mobile application which connects parent to pediatricians.,Technology,Software & Computer Services,Health_Tech,Healthcare Analytics and Software,,Social_Platforms,Connect to Professionals,B2B2C,Platform for doctors to manage patient data,,,Delhi,,Angel investment,3,Siddharth Ahluwalia,Satyadeep Karnati,Sowrab NRS
6,keyur,AdstringO Software Pvt. Ltd.,2014,"AdStringO is end-Point Mobile & Web based Image, Audio & Video Compression Technology provider which enable organizations to release up to 96% of their existing storage capacity to achieve significant, permanent storage cost savings",Technology,Software & Computer Services,Software_and_Internet_Services,Enterprise Software,,,,B2B,Audio & video compression technology provider ,,,Mumbai,Maharashtra,Angel investment,1,Mohan Chandrasekaran,,
7,keyur,Aegis Care Advisors Pvt. Ltd.,2014,"Aegis Care Advisors Pvt. Ltd. provides home healthcare services It also provides attendant services in the areas of personal care, nutrition, mobility, support services, and toileting; and infant care services.",Healthcare,Healthcare,Health_Tech,"Clinics, Hospitals, and Health Care Providers ",,,,B2C,Home health care service providers,,,Mumbai,Maharashtra,Angel investment,,,,
8,keyur,Agile Parking Solutions Pvt. Ltd.,2015,Agile Parking Solutions Private Limited develops a cloud based mobile parking application making real time parking information accessible for both supply and demand side.,Technology,Software & Computer Services,Software_and_Internet_Services,Software services for consumers,Enterprise Networking,,,B2B2C,Mobile parking application,,,Noida,Uttar Pradesh,Angel investment,2,Chiraj Jain,Rasik Pansarae,
9,keyur,Aisle Network Pvt. Ltd.,2014,"Aisle is an Indian matchmaking brand, which offers a differentiated experience to its niche audience – handpicked urban, independent Indians of today. It is the only matchmaking brand that highly focuses on and takes into consideration the distinct needs of its Indian consumers and their cultural environment.",Technology,Software & Computer Services,Social_Platforms,Connect People for Dating and Matrimonial,,,,B2C,Matrimonial website,,,Bengaluru,Karnataka,Angel investment,1,Able Joseph,,
10,Keyur,Amicus Technologies Pvt. Ltd.,2015,Amicus is a shopping assistant which provides predictive analytics and reduces consumer complaints.,Consumer_services,Media,Consumer_Products_and_Services,Recreational Services,,,,B2C,Reviewing consumer rating and complaints,Suggesting better buying option,,Delhi,,Angel investment,4,Nikhil Parma,Akashdeep Singh,Nishchal Dua
11,keyur,AMP Communications Pvt. Ltd.,2014,"AMP Communications Private Limited provides branding, marketing, and advertising services. It offers social media network, bulk SMS, newspaper, digital marketing, event and promotion, tricycle ads, and auto advertisement services.",Consumer_services,Media,Media_Advertising_and_Gaming,Advertising,,,,B2B,Branding services,Marketing services,Advertising services,,Rajasthan,Angel investment,,,,
12,keyur,Anameha Infomedia Pvt. Ltd.,2014,"WedMeGood is a team, that link their professional expertise to their personal love for weddings. They work at weddings, from weddings, for weddings. So sit back, log on to WedMeGood, and feed all your whims and fancies!",Technology,Software & Computer Services,Social_Platforms,Connect People for Dating and Matrimonial,,,,B2C,Matrimonial website,,,Gurgaon,Haryana,Angel investment,,,,
13,keyur,Anasha Art and Craft LLP,2014,"Anasha Art & Craft LLP operates an online art gallery. It sells various themes, such as animals, historic, love, merriment. The company also provides art-consulting services to architects and corporate houses.",Technology,Software & Computer Services,Others,Online selling of art and craft,,,,B2C,Online art gallery,Art consulting sevices,,Jamshedpur,Jharkhand,Angel investment,1,Praveen Sinha,,
14,keyur,Apeirogon Technologies Pvt. Ltd.,2015,Apeirogon Technologies Pvt Ltd operates an online portal which aggregates news relevant for civil services aspirants.,Technology,Software & Computer Services,Social_Platforms,Website for information,,,,B2C,Apllication for civil service aspirants,,,Delhi,,Angel investment,1,Manoj Kumar,,
15,keyur,Applicate,2014,Startup which provides solutions for the complexities in sales in a business through artificial intelligence,Technology,Software & Computer Services,Industrial_and_Business_Products_and_Services,Business Support Services,,,,B2B,Solution providers for business problems,,,Delhi,,Angel investment,2,Deepak rewadi,Ranjeeth kumar,
16,keyur,Applicate IT Solutions Pvt. Ltd.,2014,"They provides mobile and cloud-based enterprise solutions. It offers Channel Kart, a mobile-based application for connecting retailers, dealers, distributors, service partners, and other channel partners of a company for real-time transaction.",Technology,Software & Computer Services,Social_Platforms,Connect to Professionals,,,,B2B,Social platform connecting business people,,,Gurgaon,Haryana,Angel investment,3,Ranjeet Kumar,Deepak Rewadi,Madhusudan Atmakuri
17,keyur,AppVirality Technologies Pvt. Ltd.,2014,"AppVirality is a 'Plug and Play Growth Hacking Toolkit For Mobile Apps' that helps app developers in identifying and implementing the right growth techniques, without any coding.",Technology,Software & Computer Services,Software_and_Internet_Services,Internet and software development,,,,B2B,Growth Hacking Toolkit For Mobile Apps,,,,,Angel investment,1,Micheal Arrington,,
18,keyur,Armoire Lifestyle Pvt. Ltd.,2015,"Start-up which rents branded cloths for party, dinning and others events and also takes care of laundry session",Consumer_goods,personal and household goods,Internet_marketplace_and_eCommerce,Borrow and rent goods and products,,,,B2C,Renting of cloths,,,Gurgaon,Haryana,Angel investment,,,,
19,keyur,ARRVEE IDEALABS TECHNOLOGIES PRIVATE LIMITED,2015,AarVee idealab is an easy to use GPS based mobile platform which allows user to login through their phone number and works on two feeds – the basecamp feed which can be their college or office campus and the local feed which allows user to broadcast a message within 5 KM radius. ,Technology,Software & Computer Services,Technology_,Telecommunications Equipment,,,,B2C,Hyper local consumer focused mobile only social platforms,,,Noida,Uttar Pradesh,Angel investment,1,Amit Vaish,,
20,keyur,Babychakra,2014,BabyChakra is a platform to discover the right maternity and childcare.,Healthcare,Healthcare,Health_Tech,Telemedicine and Online health care platforms,,,,B2C,Child care advices,Maternity caring,,Mumbai,Maharashtra,Angel investment,1,Naiyya Saggi,,
21,Keyur,Baxi,2015,"BAXI is short for Bike Taxi. A service needed in India as a safe, secure, economical last mile connectivity for all.",Consumer_services,Retail,Hyperlocal_and_Logistics,"Taxi Services, Automobile pooling & Travel",,,,B2C,Logistics service - Bike,,,Haryana,Gurgaon,Angel investment,2,Manu Rana,Ashutosh Johri,
22,keyur,BeaconsTalk,2014,"Using  beacons talk's platform, brands and consumption businesses can deliver relevant, highly engaging content straight to consumer’s mobiles as they dwell near our proximity hotspots, located in curated high traffic points of consumption, while influencing consumer’s purchase decisions",Consumer_services,Media,Media_Advertising_and_Gaming,Advertising,,,,B2B,Advertising through app,,,Mumbai,Maharashtra,Angel investment,1,Ashish Kumar,,
23,keyur,belong,2014,"Belong helps organizations discover, engage and hire top, relevant talent at the right time. Our data-driven solution helps hiring teams spot candidates who best fit their requirements and are most inclined to move, and engage with them through personalized interactions.",Industrials,Industrial goods and services,Industrial_and_Business_Products_and_Services,Business Training & Employment Agencies,,,,B2B,Helps to hire employees ,,,Bengaluru,Karnataka,Angel investment,4,Sudeendhra Chilappagari,Saiteja Veera,Vijay Sharma
24,keyur,Better Butter Internet Pvt. Ltd.,2015,Better Butter Internet Private Limited operates an online social discovery platform for food recipes. Its platform enables users to discover and share various food recipes and cuisines.,Consumer_services,Retail,Consumer_Products_and_Services,Food Products,,Social_Platforms,Website for information,B2C,Social platform for sharing food recipes.,,,Delhi,,Angel investment,2,Niyaz Laiq,Sukhmani Bedi,
25,keyur,BHIVE Workspace Pvt. Ltd.,2014,"Provide an ecosystem for entrepreneurs and startups to take their ideas to the next level. The BHIVE Team adds value by enabling the startup community to cowork, connect, contribute, collaborate, communicate and commercialize their ideas.",Industrials,Industrial goods and services,Industrial_and_Business_Products_and_Services,Business and Management consultancy,Customer service for business,,,B2B,Helps entrepreneurs and start-ups to co-work and commercialize their ideas,,,Bengaluru,Karnataka,Angel investment,7,Shesh Ppalikar,Prashanth Reddy,Monnappa Bayavanda
26,keyur,Bisko Labs Pvt. Ltd.,2014,Bisko Labs is focused on hardware products and convert any geared motorcycles on road to automatic geared by using IGT technology.,Technology,Technology Hardware & Equipment,Industrial_and_Business_Products_and_Services,Industrial Automation,,,,B2B2C,Gear automation,,,Kochi,Kerala,Angel investment,,,,
27,Keyur,Bite Club,," Bite Club enables users to order meal from a dynamic changing menu through its Android app. The food is prepared by aggregated people like home chefs, amateur chefs and professional chefs.",Technology,Software & Computer Services,Hyperlocal_and_Logistics, Food Products,,,,B2C,Food delivery,,,Haryana,Gurgaon,Angel investment,3,Prateek Agarwal,Siddharth Sharma,Aushim Krishan
28,keyur,BlackBuck,2015,"Keeping technology at the core, BlackBuck is redefining the logistics landscape of India, making it reliable and efficient. Their approach to problems creates impact on the entire ecosystem of transportation, which stitches across large number of livelihoods.",Technology,Software & Computer Services,Hyperlocal_and_Logistics,Transportation Services,,,,B2B,Logistics services,Transportation,,Bengaluru,Karnataka,Angel investment,3,Chanakya Hridhaya,Rajesh Yabaji,Rama Subramanian B
29,keyur,BlackCotton Solutions Pvt. Ltd.,2014,"Mobile based platform for on-demand utility services like plumbing, electrical, carpenter, repair, pest control etc. They have a mobile first (mobile only) approach. ",Consumer_services,Retail,Consumer_Products_and_Services,Utility services,,,,B2C,On demand utility services,,,Mumbai,Maharashtra,Angel investment,2,Naman Lahoty,Abhinav Agarwal,
30,keyur,Blue Box Media Private Limited,,"Blue Box Media Pvt. Ltd. Owns and manages two online portals, which are widely read across the nation. A Digital Media start-up from India, striving towards changing India's digital scenario.",Technology,Software & Computer Services,Media_Advertising_and_Gaming,Technology and Software for the media and entertainment industry ,,,,B2B,Digital Media,,,Rajasthan,Jaipur,Angel investment,2,Pawas Jain,Deepanshu Khandelwal,
31,keyur,Bluebirch,2014,"Blubirch offers End-To-End Reverse Logistics Solution that helps Retailers, Enterprises, and Individuals in maximizing the value from unutilized inventory in a transparent, trustful and compliant way and technology enabled platform ensures optimal recovery through smart channel allocation ",Industrials,Industrial goods and services,Hyperlocal_and_Logistics,Delivery services and logistics,,,,B2B2C,Reverse logistics,Maximize recovery from returns,,Bengaluru,Karnataka,Angel investment,1,Sappan Jain,,
32,keyur,BOIBANIT,2014,Boibanit is a Food ordering marketplace,Consumer_goods,Food and beverage,Hyperlocal_and_Logistics, Food Products,,,,B2C,Food ordering market place,,,Allahabad,Uttar Pradesh,Angel investment,2,Abhiudaya Parihar,Arunabh Parihar,
33,keyur,Bombinate Technologies Pvt. Ltd.,2015,"Fitness start-up BYG (BookYourGame), which lets users book fitness centres for sessions without a membership",Healthcare,Healthcare,Health_Tech,Fitness & Wellness,,,,B2C,Application to book fitness centers,,,Bengaluru,Karnataka,Angel investment,2,Devi Prasad Biswal,Avijeet Alagathi,
34,keyur,BookMyBai,2015,Start-up which helps you to hire a maid or patient caretaker,Consumer_services,Retail,Internet_marketplace_and_eCommerce,Marketplace,,,,B2C,Marketplace of maid bureaus,,,Mumbai,Maharashtra,Angel investment,3,Anupam sinhal,Vickas Chowdhury,Vikas Chowdury
35,keyur,Bottle Lab Technologies Pvt. Ltd.,2014,Bottle Lab Technologies Pvt. Ltd. develops food ordering application.,Technology,Software & Computer Services,Hyperlocal_and_Logistics, Food Products,,,,B2C,Application for ordering food,,,Bengaluru,Karnataka,Angel investment,2,Krishna Wage,Abhishek Ashok,
36,keyur,Bucker,2014,"Bucker get you relevant curated news, hot deals, personalized event alerts in your city",Technology,Software & Computer Services,Consumer_Products_and_Services,Recreational Services,,,,B2C,Event alert providers,,,,,Angel investment,,,,
37,keyur,Buildkar,2014,Marketplace for building and home renovation products,Industrials,Construction and materials,Industrial_and_Business_Products_and_Services,Building Materials & Fixtures,,,,B2B2C,Building designers,Interior designers,,,,Angel investment,,,,
38,keyur,Buildwealth Technologies Pvt. Ltd.,2015,Buildwealth Technologies Private Limited operates an online platform that allows users to invest in tax-saving mutual funds. It invests money in various tax-saving mutual funds in a ratio that optimizes risk and returns.,Financials,Financial services,Fin_Tech_and_Payments,Investment advisory and consultancy and financial consumer services,,,,B2C,Online platform for investment in tax-saving mutual fund,,,Bengaluru,Karnataka,Angel investment,2,Aditya Agarwal,Prashant Gupta,
39,keyur,Buildzar,2015,Home construction and improvement platform. It lets you buy and sell building materials and solutions online.,Industrials,Construction and materials,Industrial_and_Business_Products_and_Services,Building Materials & Fixtures,,,,B2B2C,Building construction,Home renovation,Interior designing,Gurgaon,Haryana,Angel investment,3,Vineeth singh,Vivek Sinha,Swapnil Thripathi
40,keyur,Burger Singh,2014,Burger Singh is an online food ordering web application.,Technology,Software & Computer Services,Hyperlocal_and_Logistics, Food Products,,,,B2C,Application for ordering food,,,Gurgaon,Haryana,Angel investment,3,Kabir Jeeth Singh,Rahul Seth,Nitin Rana
41,keyur,Capria Accelerator,2015,"Provide tools, training, connections, fundraising support and seed funding to new impact fund managers.",Financials,Financial services,Fin_Tech_and_Payments, Alternative Funding Platforms,,,,B2B,Seed funding,Fund raising support,,,,Angel investment,4,,,
42,keyur,Capricoast Home Solutions Pvt. Ltd.,2015,Start-up that do home interior design to kitchens pre-customized for project-specific floor plans,Consumer_services,Retail,Internet_marketplace_and_eCommerce,Home and furniture,,,,B2C,Interior designing,,,Bengaluru,Karnataka,Angel investment,1,Jawad Ayaz,,
