startupName,Industry,Sector,investorName,Date,Multiple Angel Rounds,Follow on VC Funding,Exited,City,Region,Website,More Details,
(Jhakaas Technologies),IT & ITES,Enterprise Software (E-Commerce Software),"Anjani Prasad,CP Sanadhya,Country Manager,Malini Patel,Stelcore Management Services",Apr-17,No,None,Non Exited,Mumbai,West,,"Mumbai-based Jhakaas Technologies, which operates a platform that enables local businesses to create online & mobile presence, has raised INR 1 crore from investors including Mumbai-based management consultancy firm Stelcore Management Services; Malini Patel, Country Manager, Bloomberg Data Services; CP Sanadhya, Director at Housing Finance Company India Shelter Finance; and Anjani Prasad, Managing Director at Colour and Specialty Chemicals company Archroma India. Jhakaas expects to grow its network to more than two lakhs merchants in the next six months. The app is currently available in Mumbai, New Delhi and Bangalore and will soon be launched in other cities.",
Artwale,IT & ITES,E-Commerce,Anil Jain,Mar-17,No,None,Non Exited,Hubli,South,http://artwaley.com,"Chennai-based AJ Investments, headed by entrepreneur Anil Jain, has invested in art startup Artwale with seed funding at a valuation of $ 3.5 million. The company has an online-offline model to sell art works of over 150 artists. Artwale has set up its first franchise outlet in Chennai. Agreements to set up 12 other outlets in other states of India as well as Dubai and Atlanta have been made.",
Billionloans,IT & ITES,"Online Services (Consumer Loans, SME Loans)",V Balakrishnan,Mar-17,No,None,Non Exited,Bangalore,South,http://www.billionloans.com/,"Former Infosys CFO & board member V Balakrishnan has invested $1 million in fintech firm Billionloans, which aims to make borrowing easy for small businesses and individuals. The firm, co-founded by Rangan Varadan of MicroGraam, will replicate the social impact organisations model to link commercial lenders with borrowers. The focus is to build a 360-degree credit profile of borrowers based on their banking history and social graph so as to minimise risks for lenders. The venture is looking to raise funds from other investors as well. It will begin its operations in Karnataka, Tamil Nadu and Andhra Pradesh.",
(Easter Egg),IT & ITES,Mobile VAS,Wealthy Ideas,Mar-17,No,None,Non Exited,Bangalore,South,http://www.eastereggapp.com,"Easter Egg, a blockchain-enabled global gifting platform, has raised $400,000 from Singapore-based Wealthy Ideas. Easter Egg is a block chain-enabled, global gifting platform that enables people to gift across geographies. They have started out with four categories – Food & Beverages, Spa & Wellness, Activities and Experiences and it’s operational in three cities – Bangalore, Pune and Singapore.",
Edgefx Technologies,Education,Equipment & Accessories (DIY Kits),The Chennai Angels,Mar-17,No,None,Non Exited,Hyderabad,South,http://www.edgefxkits.com/,"The Chennai Angels group has invested 2 startups-Ragtagger Lifestyle and Edgefx Technologies. Edgefx Technologies is an ed-tech company which provides practical skill building solutions to the engineering student fraternity globally (30+ countries) in the form of Do-it- Yourself (DIY) project kits in wide areas of Electrical Embedded Communications and latest areas like IoT, Android, Arduino, Raspberry Pi and many more.",
FalconBrick,IT & ITES,Mobile VAS (Real Estate),"Abhishek Bhatewara,Satveer Thakral,Apurva Salarpuria,Mumbai Angels,Others",Mar-17,No,None,Non Exited,Bangalore,South,http://www.falconbrick.com/,"FalconBrick, a real estate tech startup, has raised funding led by Satveer Thakral of Singapore Angel Network, LetsVenture and Mumbai Angels. The round also saw participation from Apurva Salarpuria (founder, Salarpuria Sattva Group), Rahul Talwar (promoter family of DLF Ltd), Sidharth Pansari (Director, Primarc Group), Abhishek Bhatewara (promoter Family – Rohan Builders), and Mridul Upreti (CEO, JLL). The company plans to use the funds to strengthen product, for geographical expansion as well as its customer service/retention operations. Founded by Gautam Mayur, Sashi Kiran, and Aditya Shankar in 2015, the startup offers a mobile-based solution for construction projects. The company caters to real estate developers, builders, and construction firms that work around the execution of large projects. The startup is currently operational in Bengaluru, Mumbai, Pune and Kolkata.",
farMart,IT & ITES,Online Services,Indian Angel Network,Mar-17,No,None,Non Exited,Gurgaon,North,http://farmart.co/,"farMart, an agriculture machinery renting platform for the farmers and by the farmers, has received funding from Indian Angel Network (IAN). Founded in 2016 by Alekh Sanghera, Mehtab Singh Hans and Lokesh Singh, Gurgaon-based farMart helps farmers and local entrepreneurs rent out their under-utilised agricultural machinery to fellow small and marginal farmers in need, on a pay-per-use basis, via mobile app or call centre. farMart is currently operational in one district and will be expanding to more than 20-plus districts in Uttar Pradesh, Uttrakhand, Haryana and Madhya Pradesh. The startup claims to have served more than 350 farmers and entrepreneurs to date.",
Fitso,IT & ITES,Mobile VAS (Fitness App),"Sujeet Kumar,Others",Mar-17,Yes,None,Non Exited,Gurgaon,North,https://getfitso.com/,"Health and fitness app Fitso has raised about USD 200,000 from a group of investors including Sujeet Kumar (ex-Flipkart), Bhupinder (CEO, Intelenet) and Yashish Dahiya (CEO, PolicyBazaar) on fund-raising platform LetsVenture. The company had raised a similar amount in January 2016. Fitso intends to invest the funds in product development, expanding its team and creating a more user-friendly app. It also plans to expand its reach in providing offline training classes for running, swimming and triathlon in Delhi-NCR and build a team of coaches for personal training.",
Fynd,IT & ITES,Online Services (E-Commerce),Venture Catalysts Angels,Mar-17,No,None,Non Exited,Mumbai,West,https://www.gofynd.com/,"Venture Catalysts Angels has invested $500,000 in fashion e-commerce portal Fynd. The company will use the funding to further enhance its consumer offerings as well as brand strategy.",
(Getyana),IT & ITES,Enterprise Software (Artificial Intelligence),Puneet Gupta,Mar-17,No,None,Non Exited,Gurgaon,North,https://www.getyana.com/,"Gurgaon-based Getyana has raised seed funding from a group of Hong Kong -based investors led by Puneet Gupta of Goldman Sachs. The startup has built an artificial intelligence product– Yana AIa, an automated chat-based engine to get groceries, cabs, services and contacts. The app claims to save storage for the user and gets everything done from one single app.",
