startupName,founderName,website,city
6DEGREE,['NIKHIL HEGDE'],http://6degree.co/,Mumbai
91SPRINGBOARD,[],,Pranay Gupta
A S JUSTRIDE TOURS AND TRAVELS,"['VASANT VERMA', 'ABHISHEK MAHAJAN', 'AMIT SAHU', 'ASHWARYA SINGH', 'VASANT VERMA']",http://justride.in/,Bengaluru
AARAV UNMANNED SYSTEMS,"['VIPUL SINGH', 'YESHWANTH REDDY', 'SUHAS BANSHIWALA', 'NIKHIL UPADHYE']",http://aus.co.in/,Bangalore
ABRA,"['PETE KELLY', 'BILL BARHYDT']",http://goabra.com,Mountain View
ACADGILD,"['VIKALP JAIN', 'VINOD K. DHAM']",https://acadgild.com/,Walnut
ACTONMAGIC TECHNOLOGIES,"['SUMATHI KUPPUSAMY', 'MADAN GANESH VELAYUDHAM']",http://www.actoncloud.com/,Bangalore
ACTONMAGIC,"['SUMATHI KUPPUSAMY', 'MADAN GANESH VELAYUDHAM']",http://www.actonmagic.com,Bangalore
ADCOUNT TECHNOLOGIES,[],,
ADDODOC TECHNOLOGIES,"['SATYADEEP KARNATI', 'SIDDHARTHA AHLUWALIA', 'SOWRABH NRS']",http://addodoc.com/,Bangalore
ADDODOC,"['SATYADEEP KARNATI', 'SIDDHARTHA AHLUWALIA', 'SOWRABH NRS']",http://addodoc.com/,Bangalore
ADEPTO,"['CHRIS MILLIGAN', 'MICHAEL DERWIN']",https://www.goadepto.com.au,Brisbane
ADRIYO TECHNOLOGY,"['SREERAJ NAIR', 'SIDDHAARTHAN N']",http://www.proximove.com,Coimbatore
ADSPARX,"['KUNAL LAGWANKAR', 'LILESH GHADI', 'KETAN BARHATE']",http://adsparx.co,Great Neck
ADSTRINGO SOFTWARE,['MOHAN CHANDRASEKARAN'],http://adstringo.in/,Mumbai
ADSTRINGO,['MOHAN CHANDRASEKARAN'],http://adstringo.in/,Mumbai
ADVANTAGE CLUB,"['SMITI DEORAH', 'SOURABH DEORAH']",https://secure.workadvantage.in/home,Gurgaon
AEON COMPUTING,[],,
AERMED,"['ASHISH PRAKASH', 'NAISHADH SUTARIA', 'AAYUSH JINDAL', 'NANDIT PATHAK']",http://www.aermed.in/,
AGILE PARKING SOLUTIONS,"['CHIRAG JAIN', 'RASIK PANSARE']",http://www.getmyparking.com/,New Delhi
AHA TAXIS,['AMIT GROVER'],http://www.ahataxis.com/,Kanpur
AINCUBATE INNOVATIONS,[],http://www.enixta.com,Hyderabad
AISLE,['ABLE JOSEPH'],http://www.aisle.co/,Bangalore
ALCHEMY,[],http://www.alchemy.fr/spip.php?page=indexEn,Paris
ALLIZHEALTH,['CHINMOY MISHRA'],http://www.allizhealth.com/Pages/allizhealth/Home.aspx,Pune
ALMACONNECT,['SWAPNIL KHANDELWAL'],https://www.almaconnect.com/,New Delhi
ALMAMATER,"['ROHAN MALHOTRA', 'VARUN AGARWAL']",http://www.almamaterstore.in,Bangalore
ALTAIDE,[],http://www.altaide.com,Paris
AMICUS,['SETH BANNON'],http://amicushq.com,New York
AMIGOBULLS,"['MANDEEP MAKKAR', 'CHANDU SOHONI', 'POORNA NAYAK']",http://amigobulls.com,Bangalore
AMPLE WHOLESALE,"['VARUN VERMA', 'TANMAY PATIL']",http://www.buyample.com,Mumbai
ANAKAGE TECHNOLOGIES,['RAJEEV KUMAR'],http://anakage.in/,Bengaluru
ANAKAGE,['RAJEEV KUMAR'],http://anakage.in/,Bengaluru
ANAMEHA INFOMEDIA,[],https://www.wedmegood.com/,Gurgaon
ANTFARM,['RISHI KHIANI'],http://antfarm.in,Mumbai
APEIROGON TECHNOLOGIES,['BEERUD SHETH'],http://gupshup.me,Mumbai
APP STREET SOFTWARE,[],http://www.iappstreet.com,
APPILYEVER,"['RAKESH GUPTA', 'SUMIT HANDA']",https://www.appilyever.com,Hyderabad
APPLICATE IT SOLUTIONS,[],https://www.linkedin.com/company/bravemount-it-solutions-pvt-ltd,Hyderabad
APPLICATE,"['DEEPAK REWADI', 'RANJEET KUMAR']",http://www.applicatetechnology.com/,Delhi
APPLIED LIFE,['SAIREE CHAHAL'],http://sheroes.in/,Noida
APPS WWHERE SOFTWARE,[],http://www.iappstreet.com,
APPSAY,['VAIBHAV SHEWALE'],https://appsay.com,New Delhi
APPVIGIL,['TOSHENDRA SHARMA'],https://appvigil.co,Gurgaon
APPVIRALITY TECHNOLOGIES,"['LAXMAN PAPINENI', 'RAM PAPINENI']",http://www.appvirality.com/,Phoenix
APPVIRALITY,"['LAXMAN PAPINENI', 'RAM PAPINENI']",http://www.appvirality.com/,Phoenix
ARKIN NET,"['SHIV AGARWAL', 'MUKUL GUPTA', 'ABHIJIT SHARMA', 'ROHIT TOSHNIWAL']",http://www.arkin.net/,Mountain View
ARYA,"['VINAY KUMAR SANKARAPU', 'DEEKSHITH MARLA']",http://arya.ai,Mumbai
ASCEMA,[],http://www.ascema.com/solution.html,Cardiff
