ICB_industry,ICB_sector,accelaratorResult,accelerator,accleratorDate,businessModel,city,companyWebsite,dealInvestmentAmount,description,equityValuation,foundedDate,founderName,groupClassification,incubator,incubatorDate,incubatorResult,investmentStage,investorName,investorType,keyword,linkedinURL,roundDate,roundInvestmentAmount,roundInvestorCount,roundLeadInvestorType,roundValuation,source,stageClassification,startupClassification,startupName,startupStatus,state
Technology,Software & Computer Services,,,,,,,,,,,,"[nan, nan, nan]",,,,,[nan],,"[nan, nan, nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",TCA,,"['Software and Internet Services', nan]",100RUPIS.COM,Angel investment,
,,,,,,,,,,,,,"[nan, nan, nan]",,,,,[nan],,"[nan, nan, nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",TCA,,"[nan, nan]",14 SQUARE,Angel investment,
Financials,Financial services,,,,B2B,Mumbai,,,"1crowd is a unique equity crowd funding platform focused on connecting investors with a host of extremely promising Indian start-ups and early stage ventures, with an array of capital solutions and co-investment commitment.",,1970-01-01 00:00:00.000002015,,"['Crowdfunding', nan, nan]",,,,,['GANESH NATARAJAN'],,"['Crowd funding platform', nan, nan]",,"[Timestamp('1970-01-01 00:00:00.000042767'), NaT, NaT]","[nan, nan, nan]","[1.0, nan, nan]","['Angel investors', nan, nan]","[nan, nan, nan]",VI,,"['Fin-Tech and Payments', nan]",1CROWD,Angel investment,Maharashtra
Technology,Software & Computer Services,,,,,,,,,,,,"[nan, nan, nan]",,,,,[nan],,"[nan, nan, nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",TCA,,"['Software and Internet Services', nan]",3 IT TECH (ONLINE CLASSIFIED),Angel investment,
Consumer_services,Retail,,,,,New Delhi,,,,,,,"[nan, nan, nan]",,,,,[nan],,"[nan, nan, nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",TCA,,"['Consumer Products and Services', nan]",30 SECONDS CV,Angel investment,
Consumer_services,Retail,,,,,,,,,,,,"[nan, nan, nan]",,,,,[nan],,"[nan, nan, nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",TCA,,"['Edu-Tech', nan]",361 DEGREE MINDS CONSULTING  ,Angel investment,
Technology,Technology Hardware & Equipment,,,,B2B,,,,"It is a platform which is designed for cargo carrying , which is safe and eco friendly.",,,,"['Green transportation', nan, nan]",,,,,[nan],,"['Cargo carrying containers', 'Green containers', nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",Start up Centre,,"['Clean Technology', nan]",3E BARGE AND GREEN CONTAINER,Incubation,
Technology,Software & Computer Services,,,,,,,,,,,,"[nan, nan, nan]",,,,,[nan],,"[nan, nan, nan]",,"[NaT, NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",TCA,,"['Software and Internet Services', nan]",47LINE,Angel investment,
Consumer_goods,Food and beverage,,,,B2C,Bengaluru,,,48 East strives to bring in the best of eclectic Asian gourmet food right at the doorsteps of people. ,,1970-01-01 00:00:00.000002016,,"['Food Services', nan, nan]",,,,,['AL DHAHERI FAMILY'],,"['Food delivery', nan, nan]",,"[Timestamp('1970-01-01 00:00:00.000042767'), NaT, NaT]","[nan, nan, nan]","[nan, nan, nan]","['Angel investors', nan, nan]","[nan, nan, nan]",VI,,"['Hyperlocal and Logistics', nan]",48EAST,Angel investment,Karnataka
Consumer_services,Retail,,,,B2C,Hyderabad,,,6Degree is one of India’s first fashion talent & tech company that provides opportunities for fashion professionals to showcase their talent across the globe.,,1970-01-01 00:00:00.000002014,,"['Clothing & Accessories', nan, nan]",,,,,['INDIAN ANGEL NETWORK'],,"['Fashion related services', 'Fashion', nan]",,"[Timestamp('1970-01-01 00:00:00.000042522'), NaT, NaT]","['1.28', nan, nan]","[nan, nan, nan]","['Angel investors', nan, nan]","[nan, nan, nan]",VI,,"['Consumer Products and Services', nan]",6DEGREE,Angel investment,Telangana
